model num,web,"theta(0,0)","theta(0,1)","theta(0,2)","theta(0,3)","theta(1,0)","theta(1,1)","theta(1,2)","theta(1,3)",fibers,seed,iso
1,1,45,45,45,45,45,45,45,45,TRUE,1.5,0.5
2,1,45,45,45,45,45,45,45,45,TRUE,1.25,0.5
3,1,45,45,45,45,45,45,45,45,TRUE,1,0.5
4,1,45,45,45,45,45,45,45,45,TRUE,0.75,0.5
5,1,45,45,45,45,45,45,45,45,TRUE,0.5,0.5
6,1,45,45,45,45,45,45,45,45,TRUE,0.35,0.5
7,1,45,45,45,45,45,45,45,45,TRUE,0.25,0.5
8,1.5,45,45,45,45,45,45,45,45,TRUE,1.5,0.5
9,1.5,45,45,45,45,45,45,45,45,TRUE,1.25,0.5
10,1.5,45,45,45,45,45,45,45,45,TRUE,1,0.5
11,1.5,45,45,45,45,45,45,45,45,TRUE,0.75,0.5
12,1.5,45,45,45,45,45,45,45,45,TRUE,0.5,0.5
13,1.5,45,45,45,45,45,45,45,45,TRUE,0.35,0.5
14,1.5,45,45,45,45,45,45,45,45,TRUE,0.25,0.5
15,2,45,45,45,45,45,45,45,45,TRUE,1.5,0.5
16,2,45,45,45,45,45,45,45,45,TRUE,1.25,0.5
17,2,45,45,45,45,45,45,45,45,TRUE,1,0.5
18,2,45,45,45,45,45,45,45,45,TRUE,0.75,0.5
19,2,45,45,45,45,45,45,45,45,TRUE,0.5,0.5
20,2,45,45,45,45,45,45,45,45,TRUE,0.35,0.5
21,2,45,45,45,45,45,45,45,45,TRUE,0.25,0.5
22,2.5,45,45,45,45,45,45,45,45,TRUE,1.5,0.5
23,2.5,45,45,45,45,45,45,45,45,TRUE,1.25,0.5
24,2.5,45,45,45,45,45,45,45,45,TRUE,1,0.5
25,2.5,45,45,45,45,45,45,45,45,TRUE,0.75,0.5
26,2.5,45,45,45,45,45,45,45,45,TRUE,0.5,0.5
27,2.5,45,45,45,45,45,45,45,45,TRUE,0.35,0.5
28,2.5,45,45,45,45,45,45,45,45,TRUE,0.25,0.5
29,3,45,45,45,45,45,45,45,45,TRUE,1.5,0.5
30,3,45,45,45,45,45,45,45,45,TRUE,1.25,0.5
31,3,45,45,45,45,45,45,45,45,TRUE,1,0.5
32,3,45,45,45,45,45,45,45,45,TRUE,0.75,0.5
33,3,45,45,45,45,45,45,45,45,TRUE,0.5,0.5
34,3,45,45,45,45,45,45,45,45,TRUE,0.35,0.5
35,3,45,45,45,45,45,45,45,45,TRUE,0.25,0.5
36,1.646442462,64.8073323,64.8073323,64.8073323,64.8073323,64.8073323,64.8073323,64.8073323,64.8073323,TRUE,0.5,0.5
37,2.488196021,85.68028107,85.68028107,85.68028107,85.68028107,85.68028107,85.68028107,85.68028107,85.68028107,TRUE,0.5,0.5
